,sentence,label
98,"재석 오빠, 늦었지만 생일 축하합니다!",1
99,그래도 군대 잘 갔다 오라고 해주신 분들께 마지막으로 감사 말씀 드리고 출처를 클릭해주세요^^3,1
100,나는 아기를 혼자보고 집안일을합니다. ㅠㅠ,2
101,교대49 분 전아 아주 좋아 좋아 좌 오자와 아주 좋아,1
102,내 지갑! 내 지갑 봤어?!!,4
103,긴,1
104,의 위에? 모조품. 훈련?,4
105,우리도 트럼프처럼만 했으면 쓰레기 언론들 다 정리됐겠지. 21세기의 유일한 언론 망국 국가 대한민국.,3
106, 고민이 되고 그러네요….,2
107,박근혜 요즘 주사 안 맞나 피곤해 보이네,3
108,평생 먹을 직업을 찾아야합니다. .,2
109, 기자야. 펑펑 폭탄처럼 터지고 있는데 전 국민을 호구로 아나.,3
110,잘생겼다 이민호~,1
111,진짜? ,4
112,자랑스러운 한국인 95 %가 새로운 역사를 만들 것입니다 !!!,1
113,"지금이 순간 너무 힘들어요, 여러분?",2
114,그래서 그냥? 집 모퉁이에 떨어지고 있습니까? 이것은 어떤 종류의 양초입니까?,3
115, 라고 해서 정말 무직~~하게 자신이 한 말을 지키며 살아가는 남자라고 생각했는데….,2
116,솔직히 우리도 살인자지 결국 동물들을 먹고 있으니 단지 내가 도축을 하지 않아서 살인을 했다는 인식 없을 뿐,2
117,사람들이 너무 어렵다,2
118, 클린 연기로 우리에게 큰 기쁨을 주네요,1
119,재미는 정말 흥미 롭습니다!,1
120,밖에서 잠시 기다려,3
121,냉장고에 아이스크림이 있어요 어떻게해야합니까? ㅋ,2
122,저걸 도로에서 탄다고?,4
123,헉 나부터 암 체크해야겠다 제길….,4
124,누구에게 훈계합니까? 지금?,3
125,권리! 이거 봄이면 입을 게요 ~,1
126,기타는 매우 비싸다.,4
127,"진짜 쓰, 레, 기, 들이다 에라~~~",3
128,나 이제 손 뗄 거예요.,2
129,최강 한화 외치던 사람들 다 어디 감? ㅋㅋㅋㅋㅋㅋ,1
130,용기 있네. 부패 정부와 부패재벌과 싸움은 목숨 걸어야 하는데….,1
131,아뇨 아버지는 어디 계시 니?,4
132,……그래도 즐거웠어. 마지막으로 멋진 문화제를 만들 수 있어서 기뻤어. 고마워.,2
133,다문화라면 그런 식입니다.,2
134,나는 보통 피곤하고 죽어야합니다. . 0,4
135,너 아프니?,4
136,나쁜 점은 당신이 착각 한 것입니다!,3
137,유승호의 군대는 잘되었고 아무것도 할 일이 없습니다,1
138,왜일까... 왜 밤에는 잠이 안 올까,2
139,당신은 그것을 모두 먹기로 결정했습니다! 이년… … .,3
140,삼성 그냥 핸드폰 사업 접어라,3
141,갓 흥민 아주 찬양해~~~,1
142,김종민 오빠 나와서 본방송만 시청했어요~^^♡,1
143,표절!! 그 이상도 그 이하도 아닌 국가망 신작!!,3
144,어쨌든 프랑스어 수준을 알고 있습니다! 폭력과 잔인 함은 버릴 수 없습니다,3
145,동국이 형이 다 말아먹었다.,2
146,바보 야 나는 당신이 무료로 생각합니다. . 언론이 무섭다. 게시물? 사람들을 자극하고 세뇌 할 수 있습니다…,3
147,가장 중요한 것은이 모든 것이 우리에 의해 만들어 졌다는 것입니다 !!!,2
148,세상에나……. 여기 어디 학교지??,4
149,아니! 당장 닥치면 평생을 살아야한다고 생각합니다. 몇 마디 만 더하겠습니다.,2
150,놀라운 미화 작업…,4
151,2. 힘든 일이 아니지만 손님 때문에 힘들다는 것이 사실입니까?!,4
152,기자도 딸랑 한 명이 평점 냈네…. ㅋ 근데 아주 공감…. ㅋㅋㅋ,3
153,연기가 매우 추워요,1
154,항상 잘해주셔요,1
155,"어서, 이상하게 말하는거야!",4
156,fa 성공한 유일한 선수가 아닌가 싶다 장원준,4
157,불쌍한 애들…. 서글프다.,2
158,칼은 얼마나 아름답습니까? 강인함을 보십니까?,1
159,저 리콜비 누진제에서 거둬간 거라며?,4
160, 정말로 취업이 안 되니 미치겠고 한국에서 직업 가진 사람들이 부럽습니다.,2
161, 공조를 보는데 제가 너무 빡치더라 구요 ㅋㅋㅋ,3
162,솔직히 1점 주기도 아깝다 영화 보면서 돈 아깝다는 생각이 들었던 건 이 영화가 처음,3
163,개그우먼 이세영인 줄….,4
164,! ... 할 수 있습니까?,4
165,약에 취해 광란의 질주~~쾅~~에라 무책임한 놈,3
166,집에서 재료로 항상 새로운 음식을 만드는 레시피에 감사드립니다 ^^,1
167,미국 잠수함이기 때문에 은폐하려 했습니까?,4
168,여보 ... 당신은 몰라 ...!,4
169,시즌 동안 최선을 다해 주셔서 감사합니다.,1
170,당신하고 같이 먹는 라면.,1
171,우리 가족 어쩌면 좋아요,2
172,죄송합니다. LG는 모바일을 정리하고 저렴한 제품으로 가야합니다.,3
173,산호에 이름 새기는 정성이 대단하네,3
174,펜이야!,1
175,"어, 관리해",2
176,매주 좋은 정보 감사합니다. ^^,1
177,내가 지금 화를 안 내게 생겼어! 여기가 어디야?,3
178,요요가 와서 다시 5 킬로가되었습니다. .,2
179,와 저런 대기업에서 낸 세금이 나라별로 1억도 안되네,4
180,와 신기하네! ㅎㅎㅎ,4
181,실물 공개하지는 못하고 엉뚱한 증언 가지고 증거라고 우기려나 보네,3
182,우리는 당신 뒤에 강한 선생님이 있습니다 ~ ^ ^,1
183,도로에서 내리기가 어렵습니다. 음주 운전입니다. ㅡ ㅡ 법 시행,3
184,아버지 외에는 아무도 없었습니다.,2
185,엄마! 평생 단 한 번 간절히 원하는 소원이에요. 한 번만 져주시면 안 돼요?,2
186,? 국회의 김씨,3
187,갑자기 조지 부시가 그리워합니다.,2
188,박근혜 최순실 정유라 광화문 광장에서 공개처형 시켜야 이런 일이 다신 안 일어나지,3
189,헐 나 같으면 전라도에 기부 안 할 듯,4
190,나는 바람 테마로 오해되었다. 내가 원한다면 내가 영원히있을 수 있다는 것을 알았습니다.,2
191,우리나라는 한 다리 건너서 다 아는 사이니 바로 조 질 수가 있어서 생계 때문에 불가함,3
192,삿포로 맥주는 너무 맛있습니다. TT,1
193,슈 돌 섭외력 우주돌파,1
194,연락은 못 했어요,2
195,"난 또 저 꼬마애가 무슨 원한이 깊길래.,. 했더니 OO 그냥 혼자 나대다 OO 걸 어쩌라고.",3
196,김연아가 최고의 성능을 발휘,1
197,내가 이래도 되는 건지 모르겠지만 의지할 수 있는 건 시간이 약이라는 말 뿐인 게 너무 슬프다,2
198,"아냐, 정말 멋지다! 난 그냥 존경 ~입니다! 나는 당신처럼되고 싶어요 ...… 당신은 하시겠습니까?",1
199,부탁이다. 제발 내 딸 돌려줘!! 제발 내 딸 돌려줘라!! 이렇게 빌게!!,2
200,"하지만, 그건 힘든 일이니까…… 좀 더 잘 해냈더라면 좋았을 텐데. ……내가 할 수 있는 건 이 정도가 전부였어. ……너는 계속 이런 식으로 해 왔겠지. 이제, 그만하면 안 되겠어? 자신을 희생하는 건…",2
201,? 날씨 끝장이다. 5천만 집결,1
202,이거 엄청나 네 … .,4
203, 연락을 안 한 지는 2주 정도 됐는데 꼭 이 2주가 힘들어요.,2
204,닭인 줄 알았더니……. 꿩이네? 머리 처박고 숨은 꼴이.,3
205,무도는 제게 참 소중한 프로예요!! 감사합니다,1
206,오! 수정하겠습니다!,1
207,별 0개 선택 왜 없어요? 솔직히 별 반개도 아깝다.,3
208,슬프디슬프다. 이젠 시도 문학도 자유롭지 못했던 일본강점기가 아닌 시대 속에 살았던 것이.,2
209, 머리 깨질 거 같습니다….,2
210,오늘 이사하십니까? 나는 다음 주에 주로 알고 있었다.,4
211,어려워 눈 앞에서 자살,2
212,그거 정말 어렵다… .,2
213,"김연아, 박태환, 김동성 국민적 영웅으로 불렸던 이들은 뭔가 달라도 다르다!",1
214,애플이 OS를 떠나지 않았습니까?,4
215,힘내. 2017 년 파이팅!,1
216,그럼 뭐가 문제 야? !!,3
217,뭐. 당신은 지금 당신의 형제를 똥 내버려두고 있습니까?,4
218,무엇을 허용합니까?,3
219,그럼에도 불구하고 박근혜 광신자는 1 원조차받지 못할 것이다. ㅋ,3
220,나는 여전히 5 %의 사람들이 있습니다. 이빙의 길림 벡,1
221,우리 결혼했어요,1
222,"오, 왜 지금 나타 났니? 당신의 행동은 저기 있습니다.",4
223,나는 노무현이 그립다.,2
224,어머니가보고 싶었습니다. .,1
225,그래서 만져봤는데 ?;,4
226,나는 가난한 장군입니다 ... 미안합니다.,2
227, 그 이후론 문자 보내도 답장 안 오고 ㅠㅠ,2
228,너무 멋졌어요….,1
229,"정회 정, 김기춘 모든 죄를 구속하고 조사하라",3
230,가지 않는 방법을 알려주세요. 0,2
231,내 인생이없는 회사에 대한 답입니까?,2
232,심심하다….,3
233,Susie 항상 노력해 주셔서 감사하며 건강과 행복을 기원합니다.,1
234, 요리를 해봐야겠다는 용기를 내게 해주셔서 감사합니다.,1
235,중요한 일이라서 요. ㅠㅠ,2
236,지인들이 만든 영화입니다. ㅠ. ㅠ 예 ....,2
237,제대로 된 VIP는 대단하구나.,4
238,으…. 뭐야….,2
239,파이팅 여배우 라미 란> <♡♡,1
240,? 김 여사들을 국회로 ㅋ,3
241,뭐야…?,4
242,연락 할 사람이 있습니다. 그녀는 나보다 예쁘고 낫다. 잘 지내요? 그녀와 곧 외출하길 바래,2
243,와 40대 50대가 댓글 작성자의 63 프로 네 ㅋㅋㅋ,4
244,좋은 판단…,1
245,보내 주셔서 죄송합니다. .,2
246,역시 '그것이 알고 싶다' 진행할 인물이다.♡♡,1
247,그림 같은 미남 눈빛을 연기하려면 이준기 오빠가 딱 맞은 듯.,1
248,"자식 키워봤자 다 헛고생이지, 헛고생. 아들놈 말이야, 어디 제 아버지가 싫다는 여잘 같이 살겠다고, 망할 놈의 자식.",3
249,남자친구 때문에 고민이에요. ㅜ1.,2
250,나는 한동안 변비를 겪었고 지금은 설사가 심하다.,2
251,이세돌은 강하다,4
252,빨리 끝내자,3
253,삼성 프런트가 의욕적으로 움직이네.,4
254,그렇게 할 필요가 없다면 양심이 없습니다.,3
255,태어나서 죄송합니다. 엄마….,2
256,이 개자식! 차남! 이 나쁜 놈…,3
257,어쩔 수 없는 짝퉁국…. 거지 습성이 DNA에 박혀있어.,3
258,...왜요? ,4
259,대단하시네요.. 열흘 동안 힘드셨을 텐데,1
260,아 ... 심장 마비 심장 마비.,1
261,여기다 이런 글 써도 되는지 모르겠지만 마음 정리를 할  수 있는곳이 필요해서 염치 불고하고 글을 씁니다…….,2
262,학교에 도착하는 데 약 1 시간 30 분이 걸립니다.,2
263,큰 프로젝트?,4
264,저런 인간들 때문에 나라가 발전을 안 한다,3
265,주말에 비가 오나요? 달에 의해 지연되었습니다.,4
266,스페셜 팀… 힘내.,1
267,예술가처럼 들리고 사랑에 빠졌습니다.,3
268,하지만 왠지 안심을 하고 싶은 마음에 ㅜㅜ,2
269,폭식하는 게 습관이 대면 안 되는데 힘드네요,2
270,배달… 나는 어느 시점에서 정말로 민감하다.… 죄송합니다… … . 나는 지금부터 변할 것이다.… 그리고 정말 고마워요……,2
271,"저는 정부가 지원하면서까지 비판해달라고 부탁하고, 그 비판을 기꺼이 받아들여서 더 나은 사회로 만드는 것이 민주사회의 요체라고 생각한다....... 애 정신세계가 좀 이상하다.",3
272,내가 외식 한 지 오래되었습니다.,4
273,내 남자 친구는 통지를 신청하고 예상보다 훨씬 빨리 참여했습니다.,2
274,배리어 김치 승리 한국의 김장 승리 당신이 김치를 열 때 빈 닭처럼 새로운 정부 어떻게 든 큰 소리로,3
275,주부 감사합니다 ^^,1
276,당신은 진짜입니다!,3
277,날? 그， 그거 무슨 뜻이야?,4
278,   지금의 연아 님의 장한 모습을 볼 수 있고  앞으로도 계속 지켜보며 응원할 수 있다는 것만으로도  연아님에게 감사할 뿐입니다.,1
279,이제 연양의 퍼포먼스가 끝나기 전의 배경에서 연양의 연기를보고 싶습니다.,1
280,미개인이 사는 나라네 저딴 법도 법이냐?,3
281, 너무 힘듭니다….,2
282,나는 4 일간의 식사를하고 있고 떡볶이를 너무 많이 먹고 싶다. TT,2
283,첼시 맨시티 재밌겠다.,1
284,난 그냥 첫 번째 촬영으로 끝날거야,3
285,왜 이런 짓을하는? 농담 해? 지금 무슨 소리 야?,4
286,BMW 나도 타보고 싶다. ㅡㅡ,2
287,네? 네 감사합니다.,4
288,캐릭터는 살아있으나 캐릭터 표현이 짜증 남 어제 보고 오늘 한 번 더 봤는데 알고 봐야 재밌는 영화인 듯 한 번에 의미를 파악하긴 어려움,1
289,미국은 오랜 시간이 걸립니다…,2
290,김구라보다 100 배 더 좋습니다!,1
291,그들은 잘 생기고 인기가 있습니다.,1
292,나는 오랫동안 여기에 있었다,1
293,어제 주말이었고 이미 목요일입니다.,4
294," ,만약에 합격하더라도 일 잘 할 수 있을까 걱정도 됐고요",2
295,항상 활기찬 모습을 보고 힘이 납니다~~~**응원합니다,1
296, 최악의 여름 날씨임,3
297,당신의 목소리가 너무 좋다 ~~,1
298,나는 한 쌍의 콧 구멍이 있습니다.,1
299,그거 ... 감인가 .... 나는 할 것이다.,1
300, 그때쯤 어린이집에 보내본 선배님들 계신가요?,2
301,홍진호는 콜린을 떠나야 만했다……,2
302,어쩌죠 ㅜㅜ? 0,2
303,쟤 그럼 너한테 배운 거니?,4
304,당신의  그 선택들은….  항상 옳았을 거에요..,1
305,정부가 국민연금 돈 떼먹으려고 별 생쇼를 다 하네….,3
306,근데 같이 갈 사람이 없다는 게 안타깝네요…. ㅜㅜ,2
307,유라는 좋겠네. 크크크,2
308,고졸해도 요즘 잘사는 젊은이들 많더라고요. ㅎㅎㅎㅎ,2
309,이런 밤에 참 우연이네.,4
310,에이 비론인가요? 어머… .,4
311,교사 차별은 세계 최고입니다 ^ ^,3
312,충성심?? 개나 줘버려 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅌㅋ,3
313,그래서 난 당신에게 믿음을주지 않았다?,4
314,날 얼려버리는데 이런 미친놈이….,3
315,"당신이 그렇게 말하지, 난 당신을 명중하지 않습니다",1
316,나는 엄마와 아빠와 이혼하여 따로 살고 있습니다. . ㅠㅠㅠ,2
317,쉽지만 하나씩 다른 것을 시도합니다.,1
318,아직도 이것에 대해 생각하십니까?,2
319,알아주니 다행이다 이청용 화이팅!!,1
320,아니 아저씨 보기에 저게 안 촌스러워요?,3
321,휴진이 그땐 진짜 예뻤지,1
322,하루 안으로 결정지으라고 해서 요,2
323,"유재석, 8 월 첫째 날",1
324,안녕하세요 우즈 형제!,1
325,청룽 영화에 먹칠이 될만한 망한 작품! 최첨단 기계사용을 하는데 뭔가 촌스럽고 칼총냅두고 굳이 손으로 싸우는게 이해안되고..시나리오 누가썼는지..진짜 영화가 전체적으로 80년대에 멈춘느낌. 성룡액션은 여전히 멋있지만 시대가 변한만큼..시나리오좀잘쓰길,3
326,너무 행복 해요 .,1
327,스토리의 부진은 액션의 재미까지 반감시킨다.,3
328,식어가는 구들장 같은 정권에 무슨 미련을 두는지,3
329,YDL 형님 존경하고 사랑합니다.,1
330,그는 나를 매우 빨리 잊어 버렸고 사람들을 좋아하지만 여전히 거기에 머물고 있습니다.,2
331,완전히 시원하다! 내 마음조차,1
332,고맙다 우리 아기들 많이 보고팠어.,1
333,그야 그렇지만! ……어라? 그럼 괜찮은가?,4
334,배신자,3
335,우리는 누구를 비난합니까? 우리는 정치인들 자신을 비난합니다.,2
336,어? 아버지? 여기서 나를보고 있습니까? 당신은 지금오고 있습니까?,4
337,머리에 똥만 차서 그런가 보다,3
338,꿈에서 왜 이렇게 자주 오나요? .,4
339,카톡을 보내고받은 사람을 조사해야합니다.,3
340,당신은 ... 무대 공포증이 있습니다. .,2
341,수압을 어떻게 견디나요?,4
342,전화를 받지도 않았습니다. .,2
343,뻔한 설정과 전개 교훈마저도 식상할 정도….,3
344,차오 루가 당신 나라에 가지 않습니까?,3
345,지금 그게 중요한가요? 그게 중요합니까!,3
346,야! 당신. 어떻게 된 거예요!! 부모 앞에서 변호사와 함께 무엇을 했습니까!,4
347,탄핵 안가면 300만 촛불이다!!!,3
348,경기도민 출신으로서 자랑스럽습니다^^,1
349,오랜만에 듣는 아름다운 소식이군요,1
350,왜 당신이 이것을보고 ... 나는 중간에왔다. 어설픈 홍상수 영화입니다.,3
351,여기서 짧은 케이크는 정말 맛있습니다.,1
352,언론인 투쟁 감사합니다,1
353,어떻게 해야 할까…. 보고싶다. 진짜,2
354,오래간만이다... 진정한 쓰레기 영화... 잠수함에서 핸드폰 수리도 해줘. 크크 서비스 센터냐???,3
355,오늘 완전 대박이던데요?,4
356,취해서 그런 거라고…?,2
357,임덕규? 덕규야……?,4
358,사람들의 손에 죽고 싶지 않다면 죄를 회복하는 것을 인정하고 10 원 이상을 두지 마십시오.,3
359,부자에게 진정한 친구가 되십시오. 천국에가는 것만 큼 어려운가요? 또한 그는 우리에게 친구가 필요 없다고 생각합니다.,2
360,구신 인 상태에서 알게 돼서 호감 되고 휴가 나와서 처음 만나서 사귄 거예요,1
361,당신. 지금 뭐 하는 거예요?,4
362,덕분에요.,1
363,첼시는 게임을 지배하고 물이 흐르는 느낌,1
364,세탁기 사용법을 배우십시오!,3
365,야! 사장님! 그런 생활을하지 마십시오!,3
366,어제 죽는 것이 귀엽다. TT,1
367,그 세트로…. 허허…,4
368,많이 걱정합니다.,2
369,동성애를 하면 결국 멸종으로 이어지게 돼 있어,2
370,백다방 커피 제일 맛있습니다,1
371,"이야, 칼질하는 솜씨 제법이네. 우와. 아. ",4
372,말만 하면 분위기가 그냥 숙연해짐 ㅠㅠ,2
373,놀라운.,4
374,그러나 비밀리에 친구들과 촬영하고 놀아도 불편합니다.,3
375,어제 Jiho와 즐거운 시간을 보냈습니다.,2
376,아주 재밌습니다,1
377,응? 무슨 소리 야? 나는 남성 혐오 때문에 당신이 싫어.,4
378,"허, 그것은 실제로 일어나고 있습니다. 그건 그렇고, 무슨 소리 야?",4
379,역대 최고의 영화 TOP5….,4
380,거래가 추가 되더라도 결함있는 버전에 돈을 추가합니까? ㅋ,4
381,자매는 팔지 않습니까? ㅠㅠㅠ,2
382,변경할 휴대 전화가 없습니다… ..,2
383,뭐가 그렇게 싸?,4
384,이건 범죄 수준이다….,3
385,나는 du 듀오를 좋아했지만 조금 충격을 받았으면 좋겠다.,2
386,물론이야. 나는 그것을 좋아. 당신이 내 파트너가 아니라고 생각할 때까지,2
387,대통령님! 화이팅!! 존경합니다.,1
388,"아까 걔들, 친구야?",4
389, 오늘 매표 있는데 성공해서 오빠들 보러 갈 겁니다,1
390, 제가 포기해야 될까요.,2
391,"오, 자라니?",4
392,늘 열렬히 응원하는 아빠 나이 아저씨입니다.,1
393,나름대로 감동과 교훈이 있는…….,1
394,김 부인의 시대는 영웅이되었습니다…,4
395,너 미쳤어? 뭐?,4
396,제수씨 말... 맞아?,3
397,허. 예.,2
398,나는 당신이 나를 좋아한다고 생각했다. 내 아이를 가진 여자 친구 인 내 친구는 처음으로 남자를 믿으려고 했어요.,2
399,처음부터. 그런 아이템을 얻는 것. 나는 가입하는 데 어려움을 겪었다. 노력의 결실을 말합시다,1
400,이런 폭탄을 사려고 그렇게 줄 서서 염병들 했던 거야?,4
401,뭐? 멈출 수 없어?,3
402,나는 너희들을 위해 돈이 없다.,3
403,처음 걸려봐서 정말 괴롭네요,2
404,어떻게 그날이 기억 안 날 수가 있어?,2
405,OO 바 장난하나 포스터부터 반전을 다 알려주고 있어,3
406,재미없고 너무 내용 이에 바,3
407,잘 안 고쳐지더라고요.,2
408,"밑 닦았다, 왜!",3
409,항상 캐럿 들을 위해 곡과 안무를 해주셔서 감사하고요,1
410,어 .. 그거 가지고 노는 게 아니야,4
411,더 강해 져야합니다.,2
412, 너무 힘들어요,2
413, 삼성의 지나친 스펙 지상주의의 결과다.,3
